2019-06-05 00:12:32,565 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:12:37,568 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:12:42,570 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:12:47,572 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:12:52,574 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:12:57,576 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:13:02,578 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:13:07,581 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:13:12,582 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:13:17,585 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:13:22,587 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:13:27,589 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:13:32,591 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:13:37,592 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:13:42,595 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:13:47,597 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:13:52,599 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:13:57,601 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:14:02,603 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:14:07,605 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:14:12,608 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:14:17,610 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:14:22,612 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:14:27,615 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:14:32,616 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:14:37,618 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:14:42,621 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:14:47,622 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:14:52,625 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:14:57,627 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:15:02,629 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:15:07,630 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:15:12,633 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:15:17,634 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:15:22,636 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:15:27,638 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:15:32,639 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:15:37,641 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:15:42,643 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:15:47,645 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:15:52,647 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:15:57,649 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:16:02,651 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

2019-06-05 00:16:07,653 INFO [RAFT] received beat with 0 keys, RaftCore.datums' size is 0, remote server: nacos3:8848, term: 1, local term: 1

